timestamp,ticker,open,high,low,close,volume
2021-06-28,ADA,2591.42,2622.81,2560.02,2591.42,5276573
2021-06-28,AVAX,1787.3,1851.69,1722.91,1787.3,13020655
2021-06-28,BCH,139.64,142.08,137.2,139.64,16839824
2021-06-28,BTC,639.97,645.46,634.48,639.97,19398558
2021-06-28,DOGE,2932.01,2969.32,2894.69,2932.01,10650255
2021-06-28,ETH,2685.99,2727.59,2644.39,2685.99,9704414
2021-06-28,LINK,1136.99,1142.75,1131.24,1136.99,8521716
2021-06-28,LTC,2342.22,2411.56,2272.87,2342.22,19335566
2021-06-28,SOL,1783.5,1804.3,1762.69,1783.5,2214239
2021-06-28,XRP,703.48,704.26,702.7,703.48,8053392
2021-06-29,ADA,2591.42,2683.97,2559.25,2651.8,3819855
2021-06-29,AVAX,1787.3,1833.39,1726.36,1772.45,9561875
2021-06-29,BCH,139.64,148.3,131.65,140.31,2373586
2021-06-29,BTC,639.97,640.72,616.68,617.42,6002341
2021-06-29,DOGE,2932.01,3125.2,2897.86,3091.05,10828678
2021-06-29,ETH,2685.99,2719.69,2622.64,2656.34,9145614
2021-06-29,LINK,1136.99,1156.24,1135.26,1154.51,4303249
2021-06-29,LTC,2342.22,2361.42,2132.26,2151.47,14410330
2021-06-29,SOL,1783.5,1850.82,1627.36,1694.68,13701040
2021-06-29,XRP,703.48,735.78,689.32,721.62,12266025
2021-06-30,ADA,2651.8,2731.8,2579.27,2659.26,19757242
2021-06-30,AVAX,1772.45,1799.58,1649.44,1676.56,15794647
2021-06-30,BCH,140.31,141.88,129.24,130.82,1499356
2021-06-30,BTC,617.42,623.35,590.61,596.54,5508050
2021-06-30,DOGE,3091.05,3185.92,3043.3,3138.17,7022616
2021-06-30,ETH,2656.34,2674.43,2645.61,2663.69,13016288
2021-06-30,LINK,1154.51,1171.46,1129.15,1146.1,10170106
2021-06-30,LTC,2151.47,2177.1,1923.17,1948.81,2385546
2021-06-30,SOL,1694.68,1773.72,1683.56,1762.6,11172229
2021-06-30,XRP,721.62,771.02,639.09,688.49,5240443
2021-07-01,ADA,2659.26,2998.25,2581.92,2920.91,2948060
2021-07-01,AVAX,1676.56,1690.03,1642.18,1655.64,4640732
2021-07-01,BCH,130.82,132.62,127.73,129.52,16852254
2021-07-01,BTC,596.54,623.53,576.4,603.39,17135957
2021-07-01,DOGE,3138.17,3189.7,3101.49,3153.02,10796491
2021-07-01,ETH,2663.69,2693.69,2579.58,2609.58,18983365
2021-07-01,LINK,1146.1,1198.44,1138.78,1191.13,1163415
2021-07-01,LTC,1948.81,2114.26,1887.67,2053.12,10653236
2021-07-01,SOL,1762.6,1770.09,1710.71,1718.2,4072526
2021-07-01,XRP,688.49,781.21,653.62,746.34,4243872
2021-07-02,ADA,2920.91,2926.62,2916.91,2922.62,10646462
2021-07-02,AVAX,1655.64,1796.38,1646.09,1786.83,3839988
2021-07-02,BCH,129.52,133.11,127.68,131.26,11986332
2021-07-02,BTC,603.39,619.67,602.05,618.34,7379390
2021-07-02,DOGE,3153.02,3183.84,3058.89,3089.71,11349766
2021-07-02,ETH,2609.58,2703.13,2591.54,2685.09,13514064
2021-07-02,LINK,1191.13,1192.92,1149.73,1151.53,14566823
2021-07-02,LTC,2053.12,2169.53,2022.9,2139.31,2920140
2021-07-02,SOL,1718.2,1770.55,1690.51,1742.86,18229266
2021-07-02,XRP,746.34,766.33,714.33,734.33,5800132
2021-07-03,ADA,2922.62,2934.47,2911.6,2923.46,19602553
2021-07-03,AVAX,1786.83,1905.62,1739.41,1858.2,6759048
2021-07-03,BCH,131.26,133.92,126.52,129.17,14317335
2021-07-03,BTC,618.34,633.95,578.15,593.76,3456651
2021-07-03,DOGE,3089.71,3117.15,3038.23,3065.67,1209243
2021-07-03,ETH,2685.09,2731.7,2611.55,2658.16,15890101
2021-07-03,LINK,1151.53,1194.28,1150.94,1193.69,1806144
2021-07-03,LTC,2139.31,2274.4,2121.03,2256.12,9076511
2021-07-03,SOL,1742.86,1998.79,1678.14,1934.08,18691144
2021-07-03,XRP,734.33,778.62,718.84,763.13,19125991
2021-07-04,ADA,2923.46,2956.6,2775.81,2808.95,16923576
2021-07-04,AVAX,1858.2,1928.48,1628.46,1698.75,16097350
2021-07-04,BCH,129.17,131.1,124.42,126.35,5228129
2021-07-04,BTC,593.76,597.46,570.45,574.15,8495589
2021-07-04,DOGE,3065.67,3091.14,3016.68,3042.15,13571776
2021-07-04,ETH,2658.16,2697.06,2492.39,2531.3,11276722
2021-07-04,LINK,1193.69,1238.28,1164.78,1209.36,1129447
2021-07-04,LTC,2256.12,2294.37,2197.51,2235.76,2088386
2021-07-04,SOL,1934.08,1944.62,1881.91,1892.45,13401812
2021-07-04,XRP,763.13,805.09,754.54,796.5,10749111
2021-07-05,ADA,2808.95,3035.86,2709.65,2936.55,7550554
2021-07-05,AVAX,1698.75,1711.89,1642.22,1655.36,17817319
2021-07-05,BCH,126.35,128.26,121.82,123.74,13533575
2021-07-05,BTC,574.15,601.02,565.91,592.78,10078776
2021-07-05,DOGE,3042.15,3194.49,2989.42,3141.76,13375745
2021-07-05,ETH,2531.3,2535.15,2506.84,2510.69,3706282
2021-07-05,LINK,1209.36,1219.16,1197.47,1207.27,3918135
2021-07-05,LTC,2235.76,2270.52,1982.18,2016.94,3496648
2021-07-05,SOL,1892.45,2033.52,1853.66,1994.72,1529772
2021-07-05,XRP,796.5,831.14,795.94,830.58,16817893
2021-07-06,ADA,2936.55,2968.67,2905.25,2937.37,12571837
2021-07-06,AVAX,1655.36,1662.8,1457.06,1464.5,5120261
2021-07-06,BCH,123.74,129.06,113.88,119.2,4755011
2021-07-06,BTC,592.78,604.31,590.44,601.97,16257202
2021-07-06,DOGE,3141.76,3195.67,2948.87,3002.77,6919370
2021-07-06,ETH,2510.69,2533.39,2503.56,2526.27,9195733
2021-07-06,LINK,1207.27,1208.51,1188.18,1189.42,18445830
