timestamp,ticker,open,high,low,close,volume,source,session,price_basis,volume_basis,retrieved_at,requested_bar_hours
2021-09-02 13:30:00,QQQ,381.97,382.31,380.71,381.08,8016024.000000001,IBKR_TRADES,RTH,split_adjusted,traded_shares,2026-09-09T00:39:13.631182+00:00,4
2021-09-02 16:00:00,QQQ,381.08,381.15,379.15,380.42,11506041.0,IBKR_TRADES,RTH,split_adjusted,traded_shares,2026-09-09T00:39:13.631182+00:00,4
2021-09-03 13:30:00,QQQ,379.22,381.95,379.2,381.09,9436613.0,IBKR_TRADES,RTH,split_adjusted,traded_shares,2026-09-09T00:39:13.631182+00:00,4
2021-09-03 16:00:00,QQQ,381.07,381.98,380.98,381.59,6518805.0,IBKR_TRADES,RTH,split_adjusted,traded_shares,2026-09-09T00:39:13.631182+00:00,4
2021-09-07 13:30:00,QQQ,381.65,382.19,380.48,382.0,9376437.0,IBKR_TRADES,RTH,split_adjusted,traded_shares,2026-09-09T00:39:13.631182+00:00,4
2021-09-07 16:00:00,QQQ,381.96,382.78,381.93,382.11,7161079.0,IBKR_TRADES,RTH,split_adjusted,traded_shares,2026-09-09T00:39:13.631182+00:00,4
2021-09-08 13:30:00,QQQ,381.93,381.93,378.55,378.89,14082378.0,IBKR_TRADES,RTH,split_adjusted,traded_shares,2026-09-09T00:39:13.631182+00:00,4
2021-09-08 16:00:00,QQQ,378.89,380.92,378.45,380.83,10885209.0,IBKR_TRADES,RTH,split_adjusted,traded_shares,2026-09-09T00:39:13.631182+00:00,4
2021-09-09 13:30:00,QQQ,381.01,382.15,380.57,381.02,9053631.0,IBKR_TRADES,RTH,split_adjusted,traded_shares,2026-09-09T00:39:13.631182+00:00,4
2021-09-09 16:00:00,QQQ,381.02,381.27,379.22,379.42,12919756.0,IBKR_TRADES,RTH,split_adjusted,traded_shares,2026-09-09T00:39:13.631182+00:00,4
2021-09-10 13:30:00,QQQ,381.23,381.97,378.57,378.94,15447400.000000002,IBKR_TRADES,RTH,split_adjusted,traded_shares,2026-09-09T00:39:13.631182+00:00,4
2021-09-10 16:00:00,QQQ,378.97,380.48,376.24,376.5,13750919.0,IBKR_TRADES,RTH,split_adjusted,traded_shares,2026-09-09T00:39:13.631182+00:00,4
